test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
WalletPerformance,PAM-Wallet Benchmark,add_funds_scenario,00:00:08,global information,6863,0,6863,0,0,0,0,0,0,0,0,0,0,0,0,0,857.9,5064.13,91368.19,305769.51,35520.51,166068.22,256638.98,277348.35,94798.76,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,deduct_funds_scenario,00:00:13,global information,10947,0,10947,0,0,0,0,0,0,0,0,0,0,0,0,0,842.1,5060.77,92881.65,305915.54,36962.3,211943.42,278659.07,284426.24,98833.8,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,get_balance_scenario,00:00:08,global information,6903,0,6903,0,0,0,0,0,0,0,0,0,0,0,0,0,862.9,5057.46,96528.43,305824.88,38469.63,174587.9,255983.62,276561.92,96305.25,0,0,0,0
