test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
WalletPerformance,PAM-Wallet Benchmark,create_wallet_scenario,00:00:17,global information,17000,5613,11387,330.2,16.81,12975.74,30628.53,9216,23937.02,29786.11,30179.33,10314.42,0,0,0,0,669.8,9999.18,16780.49,30794.85,15261.7,21233.66,28622.85,29917.18,6023.83,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,add_funds_scenario,00:00:17,global information,17052,13973,3079,821.9,8.45,14570.61,28101,15343.62,22986.75,26427.39,27230.21,8448.21,0,0,0,0,181.1,9998.61,14434.49,23593.38,14172.16,17252.35,20512.77,22216.7,3580.83,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,deduct_funds_scenario,00:00:17,global information,17030,13857,3173,815.1,19.38,13864.77,28041.73,11419.65,22921.22,25772.03,27148.29,8313.93,0,0,0,0,186.6,9998.72,14958.13,37323.6,14868.48,17547.26,21069.82,22102.02,3620.11,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,get_balance_scenario,00:00:16,global information,16177,15662,515,978.9,0.19,10261.11,24451.65,8830.98,17645.57,22560.77,23805.95,8354.51,0,0,0,0,32.2,9998.85,10115.65,41628.86,10018.82,10027.01,10067.97,10133.5,1610.15,0,0,0,0
