test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
WalletPerformance,PAM-Wallet Benchmark,create_wallet_scenario,00:00:10,global information,9936,64,9872,6.4,8267.64,8458.53,8655.29,8445.95,8519.68,8609.79,8642.56,89.8,0,0,0,0,987.2,2.84,138.86,1464.1,81.15,199.3,406.27,555.52,161.1,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,add_funds_scenario,00:01:05,global information,65000,59472,5528,915,8.34,6115.13,14915.66,6066.18,8024.06,10682.37,12861.44,2728.58,0,0,0,0,85,9999.83,11279.47,15138.06,10772.48,12165.12,13910.02,14934.02,1364.85,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,deduct_funds_scenario,00:01:04,global information,63993,58257,5736,910.3,9.59,6112.81,14872.27,6045.7,8015.87,10633.22,12746.75,2724.71,0,0,0,0,89.6,9999.72,11339.19,15109.45,11108.35,12263.42,13967.36,14893.06,1379.29,0,0,0,0
WalletPerformance,PAM-Wallet Benchmark,get_balance_scenario,00:05:30,global information,329996,328745,1251,996.2,0.18,707.68,14801.33,0.73,1.04,5443.58,8970.24,1925.67,0,0,0,0,3.8,10000.94,11381.1,15109.82,11051.01,12435.46,14172.16,14991.36,1466.22,0,0,0,0
